BioGasFermentation:ExpParam,11
 
name,importable
InocToSubRatio,2
ProcessTemp,42
MeasurementType,AMPTSV2
CO2 concentration [%] of flush gas,0
Process temperature [Celsius],45
Mixer on time [min],15
Mixer off time [min],5
Mixer speed adjustment [%],60
Eliminate overestimation,No
timeScale,Day
 
BioGasFermentation:metaData,15,16
 
Row,Layout,Blank,Excluded,Flow Cell nr.,Name,Substrate VS/COD amount [g],Inoculum VS/COD amount [g],Type of unit [VS/COD],Headspace volume [ml],Assumed CH4 content [%],yield,sd_yield,production,sd_production,time_production,sd_time_production
R1,Blank,TRUE,FALSE,1,Blank 1,0,12.44,VS,200,60,2.03999999999996,2.8849956672411,71.6,5.26794551983978,1,0
R2,Blank,TRUE,FALSE,2,Blank 2,0,12.44,VS,200,60,-2.04000000000002,2.8849956672411,79.05,5.26794551983978,1,0
R3,Cellulose,FALSE,FALSE,3,Cellulose,8.22,16.43,VS,200,60,28.9901698468953,NA,182.26,NA,3,NA
R4,S1 ctrl,FALSE,FALSE,4,untr. sub A 1 1,5.59,11.18,VS,200,60,625.882259892205,9.87799079478673,699.8,0.777817459305218,3,0
R5,S1 ctrl,FALSE,FALSE,5,untr. sub A 1 2,5.59,11.18,VS,200,60,611.912671341221,9.87799079478673,700.9,0.777817459305218,3,0
R6,S1 7d,FALSE,FALSE,6,Treatment A - Sub A 1,6.7,13.4,VS,200,60,255.168661515573,9.49000623347673,355.2,6.49124025129251,3,0
R7,S1 7d,FALSE,FALSE,7,Treatment A - Sub A 2,6.7,13.4,VS,200,60,268.589557037961,9.49000623347673,364.38,6.49124025129251,3,0
R8,S1 4d,FALSE,FALSE,8,Treatment B - Sub A 1,3.72,7.43,VS,200,60,1095.30245825122,11.2129647909123,659.32,20.7394418922015,3,0
R9,S1 4d,FALSE,FALSE,9,Treatment B - Sub A 2,3.72,7.43,VS,200,60,1079.4449313695,11.2129647909123,629.99,20.7394418922015,3,0
R10,S2 ctrl,FALSE,FALSE,10,untr. sub B 1 1,6.46,12.94,VS,200,60,77.8018924273043,0.0207972582702038,119.88,0.0494974746830535,1,0
R11,S2 ctrl,FALSE,FALSE,11,untr. sub B 1 2,6.46,12.94,VS,200,60,77.8313041920102,0.0207972582702038,119.81,0.0494974746830535,1,0
R12,S2 4d,FALSE,FALSE,12,Treatment A - Sub B 1,1.94,3.88,VS,200,60,402.727085888554,2.21973211207529,110.78,0.219203102167831,2,0
R13,S2 4d,FALSE,FALSE,13,Treatment A - Sub B 2,1.94,3.88,VS,200,60,399.587910630822,2.21973211207529,111.09,0.219203102167831,2,0
R14,S2 6d,FALSE,FALSE,14,FTreatment B - Sub B 1,5.01,10.02,VS,200,60,103.66261688841,42.3219639534124,110.42,25.5406969364581,7,3.53553390593274
R15,S2 6d,FALSE,FALSE,15,FTreatment B - Sub B 2,5.01,10.02,VS,200,60,163.514912297591,42.3219639534124,146.54,25.5406969364581,2,3.53553390593274
 
BioGasFermentation:BioGasData,735,7
 
Row,reactor,time,product,production,net_product,yield,rel_production
91,2,41,487.11,1.43,-1.96500000000003,-1.96500000000003,98.94
92,2,42,488.39,1.33,-1.99000000000001,-1.99000000000001,99.2
93,2,43,489.1,0.71,-1.99000000000001,-1.99000000000001,99.35
94,2,44,489.82,0.71,-1.99000000000001,-1.99000000000001,99.49
95,2,45,490.48,0.71,-2.01499999999999,-2.01499999999999,99.63
96,2,46,491.19,0.71,-1.995,-1.995,99.77
97,2,47,491.86,0.71,-2.01499999999999,-2.01499999999999,99.91
98,2,48,492.32,0.71,-2.04000000000002,-2.04000000000002,100
99,3,0,0,0,0,0,0
100,3,1,50.85,50.85,-48.6347065916398,-5.91663097221896,5.71
101,3,2,141.72,90.88,-17.6536414790997,-2.14764494879558,15.9
102,3,3,323.99,182.26,110.426414790997,13.43387041253,36.35
103,3,4,483.04,159.05,212.994987942122,25.9117990197229,54.2
104,3,5,542.75,59.74,238.128026527331,28.9693462928627,60.9
105,3,6,609.62,66.84,275.915341639871,33.5663432651912,68.4
106,3,7,662.27,52.69,294.556298231511,35.8340995415464,74.31
107,3,8,701.03,38.76,309.496760450161,37.6516740207008,78.66
108,3,9,720.99,19.96,310.64942926045,37.7919013698844,80.9
109,3,10,733.9,12.91,305.795482315113,37.2013968753178,82.35
110,3,11,748.48,14.55,298.675731511254,36.3352471424883,83.98
111,3,12,758.56,10.08,289.578593247588,35.2285393245241,85.11
112,3,13,766.91,8.35,285.091004823151,34.6826039930841,86.05
113,3,14,778.6,11.69,282.900032154341,34.4160623058809,87.36
114,3,15,789.5,10.87,281.490739549839,34.2446155170121,88.59
115,3,16,797.46,7.96,277.015976688103,33.7002404730052,89.48
116,3,17,805.07,7.64,273.036487138264,33.2161176567231,90.33
117,3,18,812.92,7.84,269.4951085209,32.7852930074088,91.21
118,3,19,820.73,7.81,266.752399517685,32.4516301116405,92.09
119,3,20,825.54,4.78,259.801213826367,31.6059870834996,92.63
120,3,21,829.84,4.33,255.846591639871,31.1248894939016,93.11
121,3,22,833.84,3.99,252.668372186495,30.7382447915444,93.56
122,3,23,837.83,3.99,250.358444533762,30.4572316951049,94.01
123,3,24,841.42,3.6,248.355112540193,30.2135173406561,94.41
124,3,25,845.25,3.82,246.492725080386,29.9869495231613,94.84
125,3,26,848.45,3.17,245.037118167203,29.8098683901706,95.2
126,3,27,852.18,3.74,243.576611736334,29.6321912087998,95.62
127,3,28,856.37,4.19,241.704417202572,29.4044303166146,96.09
128,3,29,859.37,3,240.28654340836,29.2319395873917,96.43
129,3,30,861.78,2.41,240.06827170418,29.20538585209,96.7
130,3,31,863.93,2.18,239.689055466238,29.15925248981,96.94
131,3,32,866.25,2.32,239.44682073955,29.1297835449574,97.2
132,3,33,868.23,1.98,238.897604501608,29.0629689174705,97.42
133,3,34,870.24,2.01,238.246314308682,28.9837365339029,97.65
134,3,35,872.74,2.49,237.345409967846,28.8741374656746,97.93
135,3,36,875.91,3.17,238.124871382637,28.9689624553086,98.28
136,3,37,877.69,1.78,238.419039389068,29.0047493174048,98.48
137,3,38,880.07,2.38,239.319811093248,29.1143322497868,98.75
138,3,39,882.39,2.29,240.193601286174,29.2206327598751,99.01
139,3,40,883.75,1.39,239.69796221865,29.1603360363321,99.16
140,3,41,885.42,1.67,239.479304662379,29.1337353603868,99.35
141,3,42,887.17,1.76,239.505739549839,29.1369512834354,99.55
142,3,43,888.45,1.27,239.848014469453,29.17859056806,99.69
143,3,44,889.38,0.93,239.827081993569,29.1760440381471,99.79
144,3,45,890.06,0.71,239.602375401929,29.1487074698211,99.87
145,3,46,890.77,0.71,239.40106511254,29.1242171669757,99.95
146,3,47,891.22,0.71,238.939754823151,29.068096693814,100
147,3,48,891.22,0.71,238.299196141479,28.9901698468953,100
148,4,0,0,0,0,0,0
149,4,1,594.48,594.48,526.784381028939,94.2369196831733,15.08
150,4,2,1117.79,523.32,1009.34220257235,180.562111372513,28.35
151,4,3,1817.59,699.8,1672.26797427653,299.153483770398,46.1
152,4,4,2101.61,284.01,1917.85447749196,343.086668603213,53.3
